Temperature,Moisture,Nitrogen,Phosphorus,Potassium,pH,Label
30,92,216,42,229,6.650572813587444,Drainage
24,72,65,56,238,6.123875174509175,Urea
23,64,206,6,266,6.36074803779848,DAP
28,61,241,61,275,6.882715397331469,Healthy
27,69,227,27,202,6.310769230725551,DAP
27,97,258,44,186,6.918564069344642,Drainage
29,93,204,44,225,6.470642744679627,Drainage
30,65,118,57,284,6.235642040170241,Urea
29,87,189,58,265,6.76584438346621,Drainage
29,43,228,59,259,6.102430587720532,Irrigate
24,78,206,58,226,4.967963045149677,Dolomite
29,96,248,45,236,6.092970352093895,Drainage
27,74,243,43,277,7.88850469063784,Sulfur
26,65,178,25,226,6.277634849279265,DAP
21,19,208,62,194,6.054740797629753,Dolomite
25,64,240,57,270,8.245063726619815,Sulfur
25,80,223,13,234,6.882957600260812,DAP
28,74,231,48,238,7.410647162920955,Sulfur
26,81,207,62,213,4.521192532714077,Dolomite
29,104,238,58,228,6.482723603730121,Drainage
30,81,213,52,278,8.420385336930313,Sulfur
28,64,253,49,104,6.525782518087761,MOP
26,73,240,43,290,6.206561944546945,Drainage
29,79,196,58,98,6.7062577597357,MOP
27,81,239,55,241,6.647365735832175,Healthy
24,70,225,42,235,6.684912847178268,Healthy
28,73,237,20,260,6.729530539796371,DAP
26,63,214,54,256,6.553116678530253,Healthy
31,72,210,41,125,6.647628534460041,MOP
23,60,254,52,245,6.005400027210045,Healthy
27,67,232,50,241,6.257729664335514,Healthy
28,78,240,50,261,4.69493885450658,Dolomite
29,95,201,39,218,6.645656850196374,Drainage
25,25,222,54,274,6.054243517496926,Irrigate
26,70,226,53,73,6.57486042396992,MOP
28,70,259,56,250,4.907144454344792,Dolomite
28,91,255,55,302,6.9722266842733225,Drainage
28,71,220,55,238,6.004466611971439,Healthy
28,82,234,39,277,6.526472091959313,Healthy
31,58,137,56,295,6.171406593787619,Urea
25,74,201,41,254,8.137609707531258,Sulfur
25,77,212,53,243,6.4555180681412425,Healthy
30,76,197,41,267,8.03252990163993,Sulfur
23,61,253,46,236,7.6030187275456065,Sulfur
30,65,207,54,263,8.270577944676448,Sulfur
26,71,228,44,295,8.448606396800255,Sulfur
34,71,158,25,47,4.79037917990413,Drainage
27,74,223,22,208,6.219486348719977,DAP
25,60,224,6,206,6.660090105734877,DAP
28,88,221,40,232,6.742509873931543,Drainage
27,67,226,43,107,6.054669181076773,MOP
25,69,211,47,211,7.007179178671375,Healthy
28,73,213,53,92,5.885155720464343,MOP
26,32,232,50,248,5.967528908328696,Irrigate
35,24,188,59,86,6.0712791701032085,Healthy
25,66,265,59,218,7.01866709222368,Healthy
28,60,251,52,116,6.430327002967914,MOP
26,27,232,42,280,6.812875800860774,Irrigate
27,61,72,46,225,6.778975337761405,Urea
27,72,201,18,242,6.251384191630788,DAP
25,102,257,40,214,6.716831400328821,Drainage
25,100,255,51,216,5.880673654937815,Drainage
28,72,210,58,52,6.090309038258493,MOP
25,69,121,43,293,7.198445900521047,Urea
25,58,86,46,301,6.239812940890474,Urea
24,66,227,40,249,8.058626143110072,Sulfur
26,66,253,60,241,6.190501038861903,Healthy
33,61,242,41,136,6.066146842528183,Drainage
26,64,204,46,225,6.270837588463225,Healthy
26,66,196,49,281,6.28548631856372,Healthy
24,97,234,40,212,6.54109734767789,Drainage
29,63,235,59,276,6.546218833727573,Healthy
26,71,226,44,244,6.692035924613197,Healthy
33,71,237,58,287,6.528648668382228,Healthy
27,67,240,29,239,6.26511724992733,DAP
25,78,66,56,247,6.818534405734927,Irrigate
30,68,222,52,267,8.319325551747943,Irrigate
27,37,255,58,255,6.176465046470688,Irrigate
27,70,224,45,58,6.701830869744117,MOP
29,71,197,46,229,6.209357009267148,Healthy
31,74,207,43,230,7.021737828341009,DAP
23,62,223,43,125,6.215642302947097,MOP
29,75,211,53,267,4.9190670194763095,Dolomite
33,69,225,55,215,6.235060693755386,DAP
24,69,208,57,234,6.390910577473184,Healthy
26,78,207,12,240,6.953541484081216,DAP
23,28,213,59,247,6.6083446102248935,Irrigate
26,65,227,49,260,6.894698206247186,Healthy
20,51,39,47,218,5.381515579619687,DAP
29,66,241,59,93,6.600193567519651,Drainage
24,20,211,47,221,6.663146456657882,Irrigate
29,74,229,42,287,7.807952733528825,Sulfur
26,73,237,9,284,5.975455924828806,DAP
27,72,232,45,221,6.611310563391528,Healthy
28,74,230,43,198,5.370603482841128,Dolomite
27,77,212,50,268,7.036441700548634,Healthy
31,39,122,18,84,4.486182953598952,Sulfur
28,60,235,44,132,6.917100825075342,MOP
31,78,217,59,206,8.038254770965985,Sulfur
30,76,201,61,308,6.517454842549596,Healthy
27,65,223,43,246,4.785529840967568,Dolomite
25,63,129,38,277,6.44771191494328,Urea
28,73,224,47,256,4.539404589267714,Dolomite
